Item,Qty.,Total Price in USD,Link
NRF52840 NineNano v2 Clone,1,"3,77",https://de.aliexpress.com/item/1005006271779544.html?spm=a2g0o.cart.0.0.2a0a4ae4sjylme&mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.19%21EUR%203.19%21%21EUR%203.19%21%21%21%40210384cc17720394265216157e8aa5%2112000036554395431%21ct%21DE%216071339251%21%211%210%21&gatewayAdapt=glo2deu
Kailh Choc Hot-Swap Socket,36,"6,25",https://de.aliexpress.com/item/1005008928238101.html?spm=a2g0o.cart.0.0.2a0a38dafnfVcL&mp=1&pdp_npi=6%40dis%21USD%21USD%2012.47%21USD%205.99%21%21USD%205.93%21%21%21%4021038df617720398594698117e8f1d%2112000047236367812%21ct%21DE%216071339251%21%211%210%21&gatewayAdapt=glo2deu
MSK-12C02 SMD,1,2.11,https://de.aliexpress.com/item/1005010368225172.html?spm=a2g0o.cart.0.0.2a0a38dafnfVcL&mp=1&sourceType=620&pdp_npi=6%40dis%21USD%21USD%204.24%21USD%202.04%21%21USD%202.02%21%21%21%40211b61a417720400729961366e3291%2112000052157051636%21ct%21DE%216071339251%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22signature%22%3A%22d398f2b9293b29fb%22%7D%7D&gatewayAdapt=glo2deu
3.7 V 301230,1,"1,64",https://de.aliexpress.com/item/32232030132.html?spm=a2g0o.cart.0.0.2a0a38dafnfVcL&mp=1&pdp_npi=6%40dis%21USD%21USD%201.60%21USD%201.60%21%21USD%201.60%21%21%21%40211b430817720402611798344ec53f%2114958568505%21ct%21DE%216071339251%21%211%210%21&gatewayAdapt=glo2deu
Kailh Choc V1 Switch,36,"34,24",https://de.aliexpress.com/item/1005008701630340.html?spm=a2g0o.cart.0.0.2a0a38dafnfVcL&mp=1&sourceType=591&pdp_npi=6%40dis%21USD%21USD%2032.59%21USD%2032.59%21%21USD%2032.59%21%21%21%4021038df617720398594698117e8f1d%2112000046308014047%21ct%21DE%216071339251%21%211%210%21&gatewayAdapt=glo2deu
1N4148W SOD123,37,1.64,https://de.aliexpress.com/item/1005006123061230.html?spm=a2g0o.cart.0.0.1cd238dap6RDkQ&mp=1&pdp_npi=6%40dis%21EUR%21EUR%204.25%21EUR%201.39%21%21EUR%201.38%21%21%21%40211b441e17721366597888279e148b%2112000035857224507%21ct%21DE%216071339251%21%211%210%21&gatewayAdapt=glo2deu
IC-Sockets,2,"1,76",https://de.aliexpress.com/item/1005007476809536.html?spm=a2g0o.cart.0.0.19cd38daQ7y7Wo&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.59%21EUR%201.59%21%21EUR%201.59%21%21%21%402103956a17721243358282946ea361%2112000040911407532%21ct%21DE%216071339251%21%211%210%21&gatewayAdapt=glo2deu
SKHLLCA010,1,"0,71",https://keeb.supply/products/alps-reset-button?variant=e834d428-bed6-4fb3-b94a-90e8f8b87d9b
MillMax Pins 3320-0-00-15-00-00-03-0 (optional),24,"3,78",https://keeb.supply/products/millmax-pins?variant=29bd2804-2a61-4fea-bfe3-f96557a35bd5
PCB,1,"14,31",https://github.com/Aff314/AFF314KEEB/blob/main/PCB/Gerber.zip
Any Keycaps for Choc V1,36,,https://github.com/braindefender/KLP-Lame-Keycaps/tree/master/STEP/Choc%20Stem%20%2B%20Choc%20Size
3D Printed Case,1,,https://github.com/Aff314/AFF314KEEB/tree/main/Case
Parts for the CKW12,,,
SMD 3x6x2.5MM Tactile Button,1,1.1,https://de.aliexpress.com/item/1005008818216326.html?spm=a2g0o.detail.0.0.b7044fi44fi4e5&mp=1&pdp_npi=6%40dis%21USD%21USD%201.87%21USD%201.87%21%21USD%201.87%21%21%21%402103856417720408562727138e6893%2112000046799345870%21ct%21DE%216071339251%21%211%210%21&_gl=1*tt8vm8*_gcl_aw*R0NMLjE3NzE2MTQ5NjguQ2owS0NRaUFxZURNQmhEY0FSSXNBSkViVTlRZ0ZDNzZac1VneGtHQ0d5QUNad3p6Z25NcldZLTJRNEYzQVpnZEpTTzE4YTExdG1UdzU3WWFBdmZyRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzE2MTQ5NjguQ2owS0NRaUFxZURNQmhEY0FSSXNBSkViVTlRZ0ZDNzZac1VneGtHQ0d5QUNad3p6Z25NcldZLTJRNEYzQVpnZEpTTzE4YTExdG1UdzU3WWFBdmZyRUFMd193Y0I.*_gcl_au*MTIzODc5NDY2Ny4xNzcxNTMxNjc0*_ga*MTc4MzUxODgwMDE3MDI0Ny4xNzcxNTMxNjU5NDAx*_ga_VED1YSGNC7*czE3NzIwMzU4OTAkbzQzJGcxJHQxNzcyMDQwODU3JGo2MCRsMCRoMA..&gatewayAdapt=glo2deu
EC05E1220202,1,31.12,https://de.aliexpress.com/item/1005007146553579.html?spm=a2g0o.cart.0.0.2a0a38dafnfVcL&mp=1&sourceType=591&pdp_npi=6%40dis%21USD%21USD%202.05%21USD%201.80%21%21USD%201.80%21%21%21%40211b430817720402611798344ec53f%2112000039580613842%21ct%21DE%216071339251%21%211%210%21&gatewayAdapt=glo2deu
PCB,1,2.4,https://github.com/kumamuk-git/CKW12/tree/main/pcb/top
3D Printed Housing,1,,https://github.com/kumamuk-git/CKW12/blob/main/3dmodel/ckw12_housing.stp
3D Printed Stem,1,,https://github.com/kumamuk-git/CKW12/blob/main/3dmodel/ckw12_stem.stl
3D Printed Wheel,1,,https://github.com/kumamuk-git/CKW12/blob/main/3dmodel/ckw12_wheel_fix.stp
